time,x,y,z,qx,qy,qz,qw,vx,vy,vz,wx,wy,wz
142.26,7.290337999027451e-16,1.8610675877431225e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.1876772199412435e-18,-4.4887148285342446e-30,0.0,0.0,0.0,2.858362391285015e-17
142.29,7.290662690080711e-16,1.861227997346077e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.1911099327469195e-18,-4.50160677447015e-30,0.0,0.0,0.0,1.4015163185269454e-17
142.33,7.290383622482469e-16,1.8611074397766054e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,8.506946225232437e-19,-3.215101605670213e-30,0.0,0.0,0.0,4.403491641320287e-18
142.36,7.290398252867383e-16,1.8610956722710025e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,7.992470922105885e-19,-3.0207419481458985e-30,0.0,0.0,0.0,1.4597654148198388e-17
142.39,7.290241969919443e-16,1.8610466111600777e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,6.071984107007767e-19,-2.2948728389426188e-30,0.0,0.0,0.0,1.439336451225998e-17
142.43,7.290253255976547e-16,1.8610517800906154e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.318434554155535e-19,-8.763239176634983e-31,0.0,0.0,0.0,1.2875213761004357e-17
142.46,7.290412496008274e-16,1.8611036701746713e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.5892335698130343e-19,-6.008106156877841e-31,0.0,0.0,0.0,3.2282406459507943e-17
142.49,7.291403937769095e-16,1.861549816439467e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,3.6462953374382346e-19,-1.3781464161609057e-30,0.0,0.0,0.0,-1.785860523429045e-17
142.53,7.292595291322242e-16,1.8620651945187688e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.006638872841244e-18,-3.804430862994988e-30,0.0,0.0,0.0,1.5742175601233988e-17
142.56,7.292825090028689e-16,1.8621485512788068e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.116018581358898e-18,-4.2178630990990034e-30,0.0,0.0,0.0,1.1156410181303151e-17
142.59,7.294156494482046e-16,1.8627405178547146e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,1.775787297409675e-18,-6.711200714758625e-30,0.0,0.0,0.0,-2.4024548998782365e-17
142.63,7.295285818942844e-16,1.8632289964430317e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.3118255967957185e-18,-8.73699855403877e-30,0.0,0.0,0.0,6.633760004529185e-18
142.66,7.295834757126354e-16,1.8634512557405195e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.42230421503988e-18,-9.154580205183114e-30,0.0,0.0,0.0,1.1211645659694404e-17
142.69,7.296076581001975e-16,1.8635709934391139e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2503600528549917e-18,-8.504703889639747e-30,0.0,0.0,0.0,2.5009636343543548e-17
142.73,7.2976672454584205e-16,1.8642580249589177e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4233321376088176e-18,-9.158398793033522e-30,0.0,0.0,0.0,1.7282353664713247e-18
142.77,7.299098308084395e-16,1.8648757967431327e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,2.7936447853545063e-18,-1.0557886925117964e-29,0.0,0.0,0.0,6.102788880996298e-18
142.79,7.298947621047664e-16,1.8777946953831789e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.407352607902717e-18,-8.879343856342209e-30,0.0,0.0,0.0,3.4375301636102176e-17
142.83,7.29958047050807e-16,1.8759299292812018e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.1911626232064083e-18,-8.22636043857602e-30,0.0,0.0,0.0,2.304265490560164e-17
142.87,7.300636331016416e-16,1.8693555236219034e-31,0.0,0.0,0.0,1.7827961329430764e-12,1.0,2.300944445488921e-18,-8.68226010614957e-30,0.0,0.0,0.0,7.337707712816557e-18
142.89,7.301842839344843e-16,1.888804156202535e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7651300803101312e-18,-1.0095474731767612e-29,0.0,0.0,0.0,8.814614964669447e-18
142.93,7.302508869707467e-16,1.8841810763253524e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4669757816599925e-18,-9.234795941093426e-30,0.0,0.0,0.0,1.1239392417394586e-17
142.96,7.302822587734928e-16,1.8818177983583606e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.1923416210793557e-18,-8.241099926108041e-30,0.0,0.0,0.0,-3.1330724275290374e-17
142.99,7.303505037050059e-16,1.8701720709826996e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.282210980316412e-18,-8.61414012763535e-30,0.0,0.0,0.0,1.2798830773928684e-17
143.03,7.30473810721134e-16,1.8682436381590679e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.531733211235509e-18,-9.56544584975108e-30,0.0,0.0,0.0,6.095922386150203e-18
143.06,7.305627550275481e-16,1.868274379002001e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.7593825624191543e-18,-1.0427282161867976e-29,0.0,0.0,0.0,2.727739249092846e-17
143.09,7.3066731652085045e-16,1.8682540050017281e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.470451752971159e-18,-9.33626584562213e-30,0.0,0.0,0.0,7.1185677690309e-18
143.13,7.306977589284133e-16,1.868289865632133e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2620414926897894e-18,-8.548892827297242e-30,0.0,0.0,0.0,-9.106824726287027e-19
143.16,7.307309769955955e-16,1.8683910794139634e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2575113873070072e-18,-8.53193213172611e-30,0.0,0.0,0.0,1.9926229005354162e-18
143.19,7.3082482747534645e-16,1.868807948380096e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.3361133204097107e-18,-8.828893012564934e-30,0.0,0.0,0.0,-3.686100556621937e-17
143.23,7.309244599625613e-16,1.8692334357909214e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.2802461420429767e-18,-8.617760726475269e-30,0.0,0.0,0.0,1.1182294562617503e-17
143.26,7.310530243654768e-16,1.869757586205725e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4564701477959155e-18,-9.283860103693286e-30,0.0,0.0,0.0,1.7940554047097756e-17
143.29,7.311450968187973e-16,1.8701807718409602e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.4003836914750413e-18,-9.07178164708457e-30,0.0,0.0,0.0,1.9989540937484252e-17
143.33,7.312524135754642e-16,1.8706417595607207e-31,0.0,0.0,0.0,1.8898216325169415e-12,1.0,2.733761723569165e-18,-1.0331683818143793e-29,0.0,0.0,0.0,-4.641127403402251e-18
